name	Qu1	Qu2	Qu3	Qu4	Qu5
4563	93	74	77	4	94
4040	26	9	9	87	20
9056	60	2	14	98	84
3735	47	33	4	36	50
8674	29	34	11	81	97
2754	90	0	45	66	81
9407	81	90	66	61	41
9109	32	92	1	8	92
3444	97	65	37	15	87
3835	97	12	48	76	84
5912	0	48	33	41	1
4778	32	53	57	36	68
9781	51	18	50	18	9
5725	47	51	76	94	93
5236	96	71	36	84	37
2387	70	34	33	1	30
9990	28	32	66	78	74
5742	67	38	52	94	30
6489	57	43	93	25	77
4374	6	92	65	9	40
1786	17	14	77	25	83
9361	60	61	10	58	10
2035	58	15	12	74	53
2575	65	93	28	49	68
1218	20	32	54	14	42
1869	27	2	62	51	66
4709	54	28	47	58	24
9916	47	8	60	63	85
1693	91	10	27	2	26
5988	60	3	56	18	72
6585	46	95	55	31	30
2869	80	80	46	67	31
8572	63	45	95	73	83
6447	40	60	23	54	34
2946	39	84	68	71	75
6351	81	39	67	4	74
8950	60	90	83	96	75
2132	44	56	16	66	1
2561	7	8	47	3	84
8410	91	63	80	70	96
9999	99	98	97	96	95
